1类置信率,2类置信率,3类置信率,预测分类,实际分类,预测正确
1.98E-11,1,5.60E-10,2,2,1
1.92E-08,1,1.88E-08,2,2,1
7.89E-10,1,3.93E-09,2,2,1
9.46E-13,1,3.19E-12,2,2,1
1.94E-09,1,9.83E-10,2,2,1
1,6.53E-09,7.02E-09,1,1,1
1,4.22E-09,2.34E-09,1,1,1
0.999981046,1.80E-05,8.95E-07,1,1,1
1,5.48E-09,3.57E-10,1,1,1
1,6.62E-11,8.41E-12,1,1,1
1,2.58E-09,1.04E-10,1,1,1
1,1.40E-11,3.41E-13,1,1,1
0.976763606,0.023229571,6.88E-06,1,1,1
0.000316374,0.999682188,1.37E-06,2,2,1
1.06E-06,0.999998808,1.58E-07,2,2,1
2.46E-08,1,2.29E-09,2,2,1
2.27E-09,1,8.04E-10,2,2,1
8.08E-10,1,1.62E-09,2,2,1
7.24E-11,1,1.48E-10,2,2,1
8.72E-10,1,3.64E-09,2,2,1
1.14E-10,1,4.95E-10,2,2,1
8.89E-12,1,1.25E-10,2,2,1
4.02E-14,1,2.45E-12,2,2,1
1.23E-12,1,2.04E-11,2,2,1
8.24E-14,1,9.64E-12,2,2,1
1.28E-12,1,1.27E-11,2,2,1
5.54E-12,1,2.08E-11,2,2,1
5.63E-12,1,1.16E-11,2,2,1
9.53E-11,1,1.63E-10,2,2,1
3.69E-10,1,1.05E-09,2,2,1
1.01E-11,1,7.43E-11,2,2,1
3.96E-12,1,1.80E-10,2,2,1
6.78E-12,1,5.29E-11,2,2,1
2.50E-11,1,4.55E-11,2,2,1
1.42E-10,1,2.28E-10,2,2,1
6.92E-11,1,9.30E-11,2,2,1
5.16E-12,1,6.72E-11,2,2,1
7.74E-13,1,1.91E-11,2,2,1
3.38E-12,1,5.09E-11,2,2,1
1.98E-11,1,6.65E-11,2,2,1
7.17E-13,1,3.53E-11,2,2,1
2.81E-11,1,3.08E-10,2,2,1
9.15E-16,1,2.28E-13,2,2,1
2.27E-17,1,3.32E-14,2,2,1
1.11E-15,1,1.23E-13,2,2,1
7.77E-16,1,3.72E-13,2,2,1
2.88E-13,1,1.44E-11,2,2,1
1.05E-10,1,7.18E-11,2,2,1
